epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6916,1.52841,8.7671,0.01548,0.00205,0.61538,0.17343,0.09509,1.28627,10.0095,0.02071,0.0006,0.0006,0.0006
2,28.8728,1.41569,7.36377,0.01406,0.00256,0.76923,0.18971,0.08978,1.2787,9.97746,0.0221,0.00117974,0.00117974,0.00117974
3,41.9173,1.43271,6.71015,0.01586,0.04881,0.76923,0.25615,0.13486,1.43662,9.43398,0.02351,0.00171856,0.00171856,0.00171856
4,54.9086,1.45951,6.11021,0.01682,0.55018,0.38462,0.39797,0.20438,1.46587,8.17525,0.02449,0.001802,0.001802,0.001802
5,68.1219,1.53711,5.47662,0.01795,0.3595,0.53846,0.34544,0.18312,1.67904,6.31354,0.02719,0.001736,0.001736,0.001736
6,81.0052,1.57487,4.63639,0.01853,0.53775,0.53703,0.34054,0.17938,1.39363,4.62749,0.02734,0.00167,0.00167,0.00167
7,93.901,1.47256,4.12121,0.01657,0.41151,0.53846,0.47838,0.30481,1.50434,3.66431,0.02659,0.001604,0.001604,0.001604
8,106.771,1.50503,3.7435,0.0174,0.69592,0.52905,0.59708,0.37466,1.52573,2.99849,0.03319,0.001538,0.001538,0.001538
9,119.805,1.4372,3.49352,0.01679,0.46184,0.53846,0.5103,0.31619,1.4862,2.90292,0.02567,0.001472,0.001472,0.001472
10,133.075,1.50766,3.24926,0.0169,0.64651,0.38462,0.51823,0.28859,1.47435,2.74616,0.02272,0.001406,0.001406,0.001406
11,146.494,1.49712,3.02328,0.01839,0.426,0.62853,0.57363,0.30704,1.6109,2.52981,0.02758,0.00134,0.00134,0.00134
12,159.822,1.45827,2.70001,0.01681,0.84345,0.46154,0.67055,0.40583,1.28709,2.17321,0.02121,0.001274,0.001274,0.001274
13,173.492,1.50368,2.70976,0.01639,0.65391,0.61538,0.6736,0.40281,1.56061,2.00972,0.02978,0.001208,0.001208,0.001208
14,186.623,1.36617,2.38164,0.01681,0.62647,0.69231,0.71249,0.38283,1.55493,1.65323,0.03005,0.001142,0.001142,0.001142
15,199.687,1.35319,2.24014,0.01745,0.66781,0.69231,0.6978,0.46803,1.24053,1.56854,0.02356,0.001076,0.001076,0.001076
16,212.833,1.29238,2.12338,0.01587,0.99908,0.61538,0.78027,0.43389,1.57234,1.25812,0.02581,0.00101,0.00101,0.00101
17,225.915,1.32755,1.88922,0.0148,0.74677,0.69231,0.75828,0.42977,1.52641,1.32215,0.02409,0.000944,0.000944,0.000944
18,239.052,1.30178,1.82311,0.01337,0.79573,0.6006,0.73261,0.52476,1.18658,1.3551,0.01831,0.000878,0.000878,0.000878
19,252.408,1.34587,1.7528,0.0156,0.71892,0.84615,0.80726,0.51608,1.31732,1.06821,0.02263,0.000812,0.000812,0.000812
20,265.789,1.16721,1.44929,0.01368,0.78997,0.86906,0.89394,0.50693,1.55867,0.92241,0.02646,0.000746,0.000746,0.000746
21,331.492,1.1216,1.70917,0.01417,0.82105,0.70687,0.86608,0.41463,1.63211,0.93614,0.02585,0.00068,0.00068,0.00068
22,344.156,1.18054,1.59285,0.01564,0.99961,0.69231,0.83984,0.42889,1.5791,1.05718,0.02647,0.000614,0.000614,0.000614
23,356.86,1.11311,1.47557,0.01584,0.82125,0.84615,0.81683,0.44885,1.59642,1.16003,0.02412,0.000548,0.000548,0.000548
24,369.609,1.09568,1.44612,0.01386,0.87928,0.76923,0.85486,0.43421,1.59306,1.08956,0.02462,0.000482,0.000482,0.000482
25,382.43,0.9723,1.37122,0.01251,0.83865,0.80112,0.87274,0.47613,1.5198,0.95131,0.02596,0.000416,0.000416,0.000416
26,395.47,1.04703,1.26831,0.01312,0.85469,0.92308,0.92233,0.52492,1.49896,0.93291,0.02647,0.00035,0.00035,0.00035
27,408.525,0.94884,1.21171,0.01199,0.96893,0.92308,0.94568,0.54036,1.40959,0.91265,0.02382,0.000284,0.000284,0.000284
28,421.692,0.9408,1.21184,0.01172,1,0.90799,0.932,0.48337,1.5056,0.82496,0.02499,0.000218,0.000218,0.000218
29,434.769,0.93783,1.17882,0.01138,1,0.90881,0.93343,0.4763,1.4914,0.85613,0.02368,0.000152,0.000152,0.000152
30,447.711,0.93956,1.22553,0.01159,0.99821,0.92308,0.93401,0.49129,1.50517,0.8134,0.02324,8.6e-05,8.6e-05,8.6e-05
