epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.4053,1.4053,8.13199,0.01465,0.00282,0.84615,0.30173,0.15294,1.24271,12.6042,0.01862,0.0003,0.0003,0.0003
2,171.197,1.26876,7.2469,0.01292,0.00282,0.84615,0.24229,0.15427,1.20388,12.0662,0.01508,0.00059954,0.00059954,0.00059954
3,254.989,1.34242,7.01651,0.01503,0.00231,0.69231,0.14412,0.07533,1.48478,12.6062,0.02554,0.00087796,0.00087796,0.00087796
4,339.311,1.38833,6.21347,0.01611,0.56579,0.07692,0.25544,0.0911,1.39659,11.351,0.024,0.00113526,0.00113526,0.00113526
5,422.388,1.48197,5.34349,0.01692,0.49115,0.30769,0.35101,0.13333,1.31185,10.3245,0.01984,0.00137144,0.00137144,0.00137144
6,505.292,1.44028,4.90224,0.01757,0.61101,0.36453,0.40154,0.14241,1.33993,8.89477,0.02038,0.0015865,0.0015865,0.0015865
7,594.829,1.48519,4.49864,0.01597,0.69722,0.46154,0.57147,0.21637,1.2966,7.17535,0.01759,0.001604,0.001604,0.001604
8,678.113,1.37467,4.01925,0.01658,0.65207,0.46154,0.57822,0.29032,1.43459,6.21616,0.02291,0.001538,0.001538,0.001538
9,767.547,1.4186,3.37525,0.01659,0.55509,0.61538,0.50749,0.30738,1.3739,5.31154,0.02605,0.001472,0.001472,0.001472
10,855.668,1.38679,3.14398,0.01585,0.60857,0.59903,0.58261,0.31626,1.75992,4.81166,0.02922,0.001406,0.001406,0.001406
11,943.062,1.38333,2.94554,0.01506,0.44108,0.60746,0.53705,0.28331,1.64446,4.59752,0.03264,0.00134,0.00134,0.00134
12,1030.68,1.40255,2.60718,0.01496,0.58263,0.46154,0.4906,0.26884,1.31707,4.20202,0.02283,0.001274,0.001274,0.001274
13,1119.23,1.49512,2.53656,0.01766,0.62367,0.61538,0.62509,0.34473,1.64569,3.69384,0.03006,0.001208,0.001208,0.001208
14,1206.83,1.4834,2.27501,0.01762,0.7257,0.53846,0.64677,0.38732,1.48577,3.59001,0.02552,0.001142,0.001142,0.001142
15,1297.95,1.31064,1.96562,0.01492,0.75385,0.38462,0.56642,0.27235,1.4386,3.64101,0.02369,0.001076,0.001076,0.001076
16,1387.3,1.29365,1.85759,0.01324,0.48652,0.61538,0.59542,0.33388,1.68353,2.9783,0.02773,0.00101,0.00101,0.00101
17,1473.47,1.32967,1.71132,0.01579,1,0.3699,0.60393,0.30747,1.85587,2.85993,0.03053,0.000944,0.000944,0.000944
